transaction_id,customer_id,amount,payment_method,customer_type,subscription_type,payment_status,failure_reason,retry_count,previous_success_rate,days_since_last_payment,checkout_completed,customer_tenure_days,recovered
TX000001,C00268,407.88,UPI,returning,monthly,success,none,0,0.77,295,1,994,0
TX000002,C02322,673.72,CARD,returning,one_time,failed,card_declined,2,0.48,326,1,1486,0
TX000003,C01964,1400.8,UPI,returning,monthly,success,none,0,0.82,113,0,575,0
TX000004,C01317,622.98,NETBANKING,returning,monthly,failed,expired_card,0,0.84,46,1,1246,1
TX000005,C01300,853.61,UPI,returning,one_time,success,none,0,0.77,251,1,121,0
TX000006,C02576,1631.45,UPI,new,one_time,success,none,0,0.55,306,1,1452,0
TX000007,C00258,801.2,UPI,new,monthly,success,none,0,0.71,356,1,676,0
TX000008,C02093,1344.06,CARD,new,monthly,success,none,0,0.9,39,1,148,0
TX000009,C00605,4598.36,UPI,new,one_time,failed,card_declined,3,0.69,248,1,51,0
TX000010,C00283,939.48,UPI,returning,one_time,success,none,0,0.75,358,1,145,0
TX000011,C01580,3169.74,UPI,new,one_time,success,none,0,0.61,294,1,30,0
TX000012,C02927,1814.26,UPI,new,one_time,success,none,0,0.79,53,1,1400,0
TX000013,C02208,292.8,NETBANKING,new,yearly,success,none,0,0.77,26,1,380,0
TX000014,C02284,406.7,UPI,returning,one_time,success,none,0,0.87,14,1,526,0
TX000015,C02153,517.89,UPI,returning,monthly,success,none,0,0.76,242,1,537,0
TX000016,C02359,508.08,UPI,returning,monthly,success,none,0,0.94,334,1,95,0
TX000017,C01540,1011.04,UPI,returning,monthly,failed,bank_timeout,1,0.53,242,1,39,0
TX000018,C00385,1906.8,UPI,returning,one_time,success,none,0,0.8,339,1,425,0
TX000019,C02520,3393.59,UPI,returning,monthly,failed,network_error,0,0.8,73,1,1460,0
TX000020,C01352,1447.16,UPI,returning,monthly,success,none,0,0.5,167,1,200,0
TX000021,C01502,734.28,UPI,returning,one_time,failed,network_error,1,0.87,16,1,1388,0
TX000022,C01113,168.34,UPI,returning,one_time,failed,network_error,2,0.69,226,1,1209,0
TX000023,C00548,1168.56,CARD,new,monthly,success,none,0,0.8,339,1,141,0
TX000024,C02781,1122.36,UPI,returning,one_time,success,none,0,0.86,71,1,1415,0
TX000025,C02345,1292.89,CARD,returning,one_time,success,none,0,0.79,355,1,878,0
TX000026,C01932,7299.9,CARD,new,monthly,success,none,0,0.71,348,1,1193,0
TX000027,C01208,3349.4,NETBANKING,returning,one_time,success,none,0,0.6,278,1,719,0
TX000028,C02469,2222.87,UPI,returning,one_time,success,none,0,0.8,306,0,175,0
TX000029,C01637,461.34,CARD,returning,one_time,failed,insufficient_funds,0,0.66,33,1,949,0
TX000030,C01331,691.11,NETBANKING,returning,one_time,success,none,0,0.44,323,1,1095,0
TX000031,C01352,1006.91,WALLET,returning,monthly,success,none,0,0.56,118,1,726,0
TX000032,C00682,545.74,NETBANKING,returning,one_time,failed,insufficient_funds,1,0.68,308,1,26,0
TX000033,C00277,1720.58,UPI,returning,one_time,success,none,0,0.38,260,1,334,0
TX000034,C01664,1512.04,NETBANKING,new,monthly,success,none,0,0.77,202,1,439,0
TX000035,C02664,411.79,NETBANKING,new,monthly,success,none,0,0.67,326,1,80,0
TX000036,C00192,3219.99,UPI,returning,monthly,success,none,0,0.86,121,1,163,0
TX000037,C02575,1202.41,UPI,returning,one_time,success,none,0,0.86,51,1,385,0
TX000038,C02483,231.33,NETBANKING,returning,one_time,failed,insufficient_funds,1,0.79,362,1,1300,0
TX000039,C00831,1047.11,UPI,returning,yearly,failed,bank_timeout,3,0.65,339,1,573,1
TX000040,C01895,1412.46,CARD,new,one_time,failed,bank_timeout,1,0.92,145,1,449,0
TX000041,C00496,2632.04,UPI,returning,one_time,success,none,0,0.56,286,1,1102,0
TX000042,C02275,809.38,CARD,returning,monthly,success,none,0,0.82,354,1,1369,0
TX000043,C02102,2310.33,UPI,returning,monthly,success,none,0,0.52,86,0,270,0
TX000044,C01064,1297.8,CARD,new,yearly,success,none,0,0.67,85,1,11,0
TX000045,C00204,335.78,UPI,returning,one_time,success,none,0,0.9,310,0,460,0
TX000046,C02913,306.85,NETBANKING,returning,yearly,success,none,0,0.84,219,1,713,0
TX000047,C01338,3011.83,UPI,returning,one_time,failed,card_declined,0,0.76,7,1,898,1
TX000048,C02680,3217.58,UPI,new,monthly,failed,expired_card,3,0.6,201,1,1396,0
TX000049,C02034,1466.48,UPI,new,one_time,success,none,0,0.61,44,1,1098,0
TX000050,C02336,4213.87,UPI,new,yearly,success,none,0,0.8,97,1,391,0
TX000051,C02280,2838.27,WALLET,returning,yearly,success,none,0,0.84,360,1,378,0
TX000052,C00584,2028.93,UPI,returning,monthly,failed,insufficient_funds,2,0.71,95,0,833,0
TX000053,C01092,482.9,UPI,returning,monthly,success,none,0,0.68,117,1,877,0
TX000054,C01401,5209.74,NETBANKING,returning,one_time,success,none,0,0.73,285,1,417,0
TX000055,C01494,1776.98,UPI,new,monthly,success,none,0,0.86,177,1,1260,0
TX000056,C00132,774.91,UPI,new,one_time,failed,card_declined,0,0.73,121,1,188,0
TX000057,C01640,600.98,CARD,returning,monthly,failed,bank_timeout,0,0.76,332,1,495,1
TX000058,C00463,1381.75,UPI,returning,one_time,success,none,0,0.82,244,1,1291,0
TX000059,C02231,243.73,NETBANKING,returning,one_time,success,none,0,0.78,162,1,663,0
TX000060,C02050,2058.44,CARD,returning,one_time,failed,bank_timeout,2,0.82,192,1,250,1
TX000061,C02768,464.88,UPI,returning,monthly,failed,expired_card,0,0.85,24,1,672,0
TX000062,C02235,1530.8,CARD,returning,one_time,success,none,0,0.82,69,0,819,0
TX000063,C01100,685.77,NETBANKING,returning,monthly,success,none,0,0.73,345,1,587,0
TX000064,C02903,864.39,UPI,new,one_time,success,none,0,0.68,103,1,820,0
TX000065,C01233,554.9,CARD,new,one_time,success,none,0,0.89,291,1,539,0
TX000066,C00978,948.51,UPI,returning,monthly,failed,card_declined,0,0.75,118,1,22,0
TX000067,C02717,6005.56,UPI,returning,one_time,failed,network_error,3,0.68,125,0,1332,0
TX000068,C01112,3814.46,CARD,new,monthly,success,none,0,0.73,99,1,1308,0
TX000069,C00230,1508.74,UPI,new,one_time,success,none,0,0.83,34,1,1434,0
TX000070,C01409,1071.95,UPI,returning,yearly,success,none,0,0.81,38,1,130,0
TX000071,C02388,2344.39,UPI,new,one_time,success,none,0,0.78,13,1,1454,0
TX000072,C00569,3031.99,CARD,returning,one_time,failed,expired_card,0,0.83,4,1,528,1
TX000073,C01389,519.65,CARD,returning,yearly,failed,card_declined,1,0.74,281,0,313,0
TX000074,C00390,1022.81,UPI,returning,yearly,success,none,0,0.88,292,1,364,0
TX000075,C02060,212.78,UPI,new,monthly,success,none,0,0.84,119,1,855,0
TX000076,C01428,3013.3,NETBANKING,returning,one_time,failed,insufficient_funds,0,0.64,97,1,166,0
TX000077,C00991,7034.08,UPI,returning,one_time,success,none,0,0.93,129,1,526,0
TX000078,C00681,1178.59,UPI,new,monthly,success,none,0,0.78,328,0,701,0
TX000079,C01694,161.98,UPI,returning,one_time,success,none,0,0.62,277,1,1021,0
TX000080,C02010,1896.95,CARD,new,one_time,failed,bank_timeout,1,0.91,10,0,1231,1
TX000081,C02821,486.05,UPI,returning,monthly,success,none,0,0.82,288,1,154,0
TX000082,C01312,603.64,NETBANKING,returning,one_time,success,none,0,0.69,286,1,1422,0
TX000083,C00483,1927.38,CARD,returning,yearly,success,none,0,0.67,153,1,747,0
TX000084,C02499,1378.98,UPI,returning,one_time,failed,network_error,0,0.73,109,0,20,1
TX000085,C01890,706.77,CARD,returning,yearly,failed,insufficient_funds,2,0.91,267,1,535,0
TX000086,C02101,611.16,UPI,returning,monthly,success,none,0,0.8,245,1,1476,0
TX000087,C00292,1228.14,UPI,returning,yearly,success,none,0,0.86,220,1,697,0
TX000088,C00938,758.6,CARD,new,monthly,success,none,0,0.81,253,1,1023,0
TX000089,C02304,404.11,UPI,returning,one_time,success,none,0,0.54,35,1,512,0
TX000090,C02497,812.97,NETBANKING,returning,one_time,success,none,0,0.69,80,0,602,0
TX000091,C01306,1488.66,CARD,returning,one_time,success,none,0,0.7,264,1,718,0
TX000092,C02415,934.22,UPI,returning,monthly,success,none,0,0.7,74,0,762,0
TX000093,C02526,307.31,WALLET,new,one_time,success,none,0,0.56,21,1,1454,0
TX000094,C01163,2670.87,UPI,new,monthly,success,none,0,0.71,310,1,654,0
TX000095,C02695,100.0,UPI,new,yearly,success,none,0,0.81,264,1,302,0
TX000096,C00865,733.83,UPI,returning,one_time,success,none,0,0.85,83,1,372,0
TX000097,C00719,627.55,WALLET,new,monthly,success,none,0,0.45,341,1,703,0
TX000098,C02048,1253.08,UPI,new,yearly,failed,bank_timeout,2,0.97,44,1,1369,0
TX000099,C01911,1818.01,UPI,returning,monthly,success,none,0,0.67,225,1,763,0
TX000100,C00420,3023.25,UPI,returning,one_time,success,none,0,0.66,251,1,119,0
TX000101,C02499,577.57,UPI,returning,one_time,success,none,0,0.35,153,1,1342,0
TX000102,C00600,1859.24,UPI,new,monthly,failed,bank_timeout,0,0.83,80,0,711,0
TX000103,C02415,1307.98,CARD,new,one_time,success,none,0,0.67,2,1,220,0
TX000104,C00023,235.01,NETBANKING,returning,monthly,success,none,0,0.61,264,1,1290,0
TX000105,C02391,6066.19,CARD,new,yearly,success,none,0,0.71,313,1,985,0
TX000106,C02361,300.4,UPI,returning,monthly,success,none,0,0.77,168,0,609,0
TX000107,C02342,1599.66,UPI,returning,one_time,success,none,0,0.7,119,1,613,0
TX000108,C01995,1557.7,UPI,new,one_time,success,none,0,0.66,132,0,411,0
TX000109,C01415,1405.39,UPI,returning,yearly,failed,network_error,3,0.96,282,1,1302,0
TX000110,C02116,702.67,CARD,returning,one_time,success,none,0,0.48,23,1,606,0
TX000111,C00832,2308.9,UPI,new,one_time,success,none,0,0.8,357,1,751,0
TX000112,C02343,269.26,NETBANKING,returning,monthly,success,none,0,0.74,108,0,1411,0
TX000113,C01667,1033.55,UPI,returning,monthly,success,none,0,0.61,359,0,348,0
TX000114,C01377,660.18,CARD,new,one_time,success,none,0,0.73,96,1,923,0
TX000115,C01517,596.11,NETBANKING,returning,monthly,success,none,0,0.59,149,1,521,0
TX000116,C01707,1613.04,CARD,returning,monthly,success,none,0,0.83,272,1,224,0
TX000117,C00112,2892.08,NETBANKING,returning,one_time,success,none,0,0.74,85,1,1387,0
TX000118,C00420,805.18,NETBANKING,returning,one_time,failed,network_error,1,0.68,183,1,1145,0
TX000119,C00737,2214.13,CARD,returning,monthly,success,none,0,0.75,131,1,1254,0
TX000120,C00344,1146.84,UPI,returning,one_time,failed,network_error,0,0.9,333,1,28,0
TX000121,C01319,491.05,UPI,returning,yearly,success,none,0,0.57,108,1,886,0
TX000122,C02006,869.43,NETBANKING,returning,one_time,success,none,0,0.81,30,1,284,0
TX000123,C01964,837.53,UPI,new,monthly,failed,expired_card,0,0.79,292,1,474,0
TX000124,C01414,585.82,NETBANKING,new,monthly,success,none,0,0.76,186,1,916,0
TX000125,C02566,1612.65,UPI,new,monthly,success,none,0,0.81,68,1,332,0
TX000126,C01696,1354.49,CARD,new,one_time,success,none,0,0.79,88,0,126,0
