transaction_id,customer_id,amount,payment_method,customer_type,subscription_type,payment_status,failure_reason,retry_count,previous_success_rate,days_since_last_payment,checkout_completed,customer_tenure_days,recovered
TX000001,C00861,289.83,NETBANKING,returning,one_time,success,none,2,0.81,98,1,582,0
TX000002,C01295,124.22,CARD,returning,one_time,success,none,2,0.95,298,1,831,0
TX000003,C01131,544.89,CARD,returning,yearly,failed,expired_card,3,0.95,108,0,1378,1
TX000004,C01096,1289.1,UPI,new,monthly,failed,bank_timeout,3,0.95,191,1,875,1
TX000005,C01639,1215.44,UPI,new,yearly,success,none,0,0.64,338,1,1086,0
TX000006,C02170,1273.27,NETBANKING,returning,one_time,success,none,2,0.74,343,1,290,0
TX000007,C00467,267.45,UPI,returning,one_time,success,none,3,0.89,336,1,665,0
TX000008,C01239,2448.31,UPI,returning,one_time,failed,card_declined,1,0.87,77,1,92,1
TX000009,C00331,1393.57,UPI,returning,monthly,success,none,3,0.86,289,1,1446,0
TX000010,C01483,2282.56,CARD,new,monthly,failed,expired_card,0,0.87,6,1,174,1
TX000011,C02136,165.21,UPI,returning,monthly,success,none,3,0.84,318,1,1002,0
TX000012,C02920,1497.41,UPI,returning,one_time,failed,network_error,0,0.72,14,1,653,1
TX000013,C00131,334.37,NETBANKING,new,one_time,success,none,3,0.72,230,1,423,0
TX000014,C01686,737.07,CARD,returning,one_time,success,none,3,0.91,310,1,636,0
TX000015,C00770,1871.26,UPI,returning,yearly,success,none,1,0.93,355,1,309,0
TX000016,C02392,1201.22,UPI,returning,one_time,success,none,1,0.54,200,1,435,0
TX000017,C01516,468.0,WALLET,new,one_time,success,none,1,0.91,97,0,1366,0
TX000018,C02854,1103.53,UPI,returning,monthly,success,none,1,0.75,123,1,1351,0
TX000019,C02434,237.1,CARD,new,monthly,success,none,2,0.79,102,1,1086,0
TX000020,C01216,3464.31,UPI,returning,one_time,success,none,3,0.95,184,1,645,0
TX000021,C00956,893.12,NETBANKING,new,one_time,success,none,1,0.88,78,1,1331,0
